0,95;0,90;0,80;0,70;0,60;0,50;0,40;0,30;0,20;0,10;0,05;0,02;0,01;0,001
1;0,0787;0,1584;0,3249;0,5095;0,7265;1,0000;1,3764;1,9626;3,0777;6,3138;12,7062;31,8205;63,657;636,619
2;0,0708;0,1421;0,2887;0,4447;0,6172;0,8165;1,0607;1,3862;1,8856;2,9200;4,3027;6,9646;9,9248;31,5991
3;0,0681;0,1366;0,2767;0,4242;0,5844;0,7649;0,9785;1,2498;1,6377;2,3534;3,1824;4,5407;5,8409;12,9240
4;0,0667;0,1338;0,2707;0,4142;0,5686;0,7407;0,9410;1,1896;1,5332;2,1318;2,7764;3,7469;4,6041;8,6103
5;0,0659;0,1322;0,2672;0,4082;0,5594;0,7267;0,9195;1,1558;1,4759;2,0150;2,5706;3,3649;4,0321;6,8688
6;0,0654;0,1311;0,2648;0,4043;0,5534;0,7176;0,9057;1,1342;1,4398;1,9432;2,4469;3,1427;3,7074;5,9588
7;0,0650;0,1303;0,2632;0,4015;0,5491;0,7111;0,8960;1,1192;1,4149;1,8946;2,3646;2,9980;3,4995;5,4079
8;0,0647;0,1297;0,2619;0,3995;0,5459;0,7064;0,8889;1,1081;1,3968;1,8595;2,3060;2,8965;3,3554;5,0413
9;0,0645;0,1293;0,2610;0,3979;0,5435;0,7027;0,8834;1,0997;1,3830;1,8331;2,2622;2,8214;3,2498;4,7809
10;0,0643;0,1289;0,2602;0,3966;0,5415;0,6998;0,8791;1,0931;1,3722;1,8125;2,2281;2,7638;3,1693;4,5869
11;0,0642;0,1286;0,2596;0,3956;0,5399;0,6974;0,8755;1,0877;1,3634;1,7959;2,2010;2,7181;3,1058;4,4370
12;0,0640;0,1283;0,2590;0,3947;0,5386;0,6955;0,8726;1,0832;1,3562;1,7823;2,1788;2,6810;3,0545;4,3178
13;0,0639;0,1281;0,2586;0,3940;0,5375;0,6938;0,8702;1,0795;1,3502;1,7709;2,1604;2,6503;3,0123;4,2208
14;0,0638;0,1280;0,2582;0,3933;0,5366;0,6924;0,8681;1,0763;1,3450;1,7613;2,1448;2,6245;2,9768;4,1405
15;0,0638;0,1278;0,2579;0,3928;0,5357;0,6912;0,8662;1,0735;1,3406;1,7531;2,1314;2,6025;2,9467;4,0728
16;0,0637;0,1277;0,2576;0,3923;0,5350;0,6901;0,8647;1,0711;1,3368;1,7459;2,1199;2,5835;2,9208;4,0150
17;0,0636;0,1276;0,2573;0,3919;0,5344;0,6892;0,8633;1,0690;1,3334;1,7396;2,1098;2,5669;2,8982;3,9651
18;0,0636;0,1274;0,2571;0,3915;0,5338;0,6884;0,8620;1,0672;1,3304;1,7341;2,1009;2,5524;2,8784;3,9216
19;0,0635;0,1274;0,2569;0,3912;0,5333;0,6876;0,8610;1,0655;1,3277;1,7291;2,0930;2,5395;2,8609;3,8834
20;0,0635;0,1273;0,2567;0,3909;0,5329;0,6870;0,8600;1,0640;1,3253;1,7247;2,0860;2,5280;2,8453;3,8495
21;0,0635;0,1272;0,2566;0,3906;0,5325;0,6864;0,8591;1,0627;1,3232;1,7207;2,0796;2,5176;2,8314;3,8193
22;0,0634;0,1271;0,2564;0,3904;0,5321;0,6858;0,8583;1,0614;1,3212;1,7171;2,0739;2,5083;2,8188;3,7921
23;0,0634;0,1271;0,2563;0,3902;0,5317;0,6853;0,8575;1,0603;1,3195;1,7139;2,0687;2,4999;2,8073;3,7676
24;0,0634;0,1270;0,2562;0,3900;0,5314;0,6848;0,8569;1,0593;1,3178;1,7109;2,0639;2,4922;2,7969;3,7454
25;0,0633;0,1269;0,2561;0,3898;0,5312;0,6844;0,8562;1,0584;1,3163;1,7081;2,0595;2,4851;2,7874;3,7251
26;0,0633;0,1269;0,2560;0,3896;0,5309;0,6840;0,8557;1,0575;1,3150;1,7056;2,0555;2,4786;2,7787;3,7066
27;0,0633;0,1268;0,2559;0,3894;0,5306;0,6837;0,8551;1,0567;1,3137;1,7033;2,0518;2,4727;2,7707;3,6896
28;0,0633;0,1268;0,2558;0,3893;0,5304;0,6834;0,8546;1,0560;1,3125;1,7011;2,0484;2,4671;2,7633;3,6739
29;0,0633;0,1268;0,2557;0,3892;0,5302;0,6830;0,8542;1,0553;1,3114;1,6991;2,0452;2,4620;2,7564;3,6594
30;0,0632;0,1267;0,2556;0,3890;0,5300;0,6828;0,8538;1,0547;1,3104;1,6973;2,0423;2,4573;2,7500;3,6460
60;0,0630;0,1262;0,2545;0,3872;0,5272;0,6786;0,8477;1,0455;1,2958;1,6706;2,0003;2,3901;2,6603;3,4602
90;0,0629;0,1260;0,2541;0,3866;0,5263;0,6772;0,8456;1,0424;1,2910;1,6620;1,9867;2,3685;2,6316;3,4019
120;0,0628;0,1259;0,2539;0,3862;0,5258;0,6765;0,8446;1,0409;1,2886;1,6577;1,9799;2,3578;2,6174;3,3735
150;0,0628;0,1259;0,2538;0,3861;0,5255;0,6761;0,8440;1,0400;1,2872;1,6551;1,9759;2,3515;2,6090;3,3566
180;0,0628;0,1258;0,2537;0,3859;0,5253;0,6759;0,8436;1,0394;1,2863;1,6534;1,9732;2,3472;2,6034;3,3454
210;0,0628;0,1258;0,2537;0,3858;0,5252;0,6757;0,8433;1,0390;1,2856;1,6521;1,9713;2,3442;2,5994;3,3375
240;0,0628;0,1258;0,2536;0,3858;0,5251;0,6755;0,8431;1,0387;1,2851;1,6512;1,9699;2,3420;2,5965;3,3315
270;0,0628;0,1258;0,2536;0,3857;0,5250;0,6754;0,8430;1,0384;1,2847;1,6505;1,9688;2,3402;2,5942;3,3269
300;0,0628;0,1258;0,2536;0,3857;0,5250;0,6753;0,8428;1,0382;1,2844;1,6499;1,9679;2,3388;2,5923;3,3233
400;0,0627;0,1257;0,2535;0,3856;0,5248;0,6751;0,8425;1,0378;1,2837;1,6487;1,9659;2,3357;2,5882;3,3150
500;0,0627;0,1257;0,2535;0,3855;0,5247;0,6750;0,8423;1,0375;1,2832;1,6479;1,9647;2,3338;2,5857;3,3101
800;0,0627;0,1257;0,2534;0,3855;0,5246;0,6748;0,8421;1,0371;1,2826;1,6468;1,9629;2,3310;2,5820;3,3027
1000;0,0627;0,1257;0,2534;0,3854;0,5246;0,6747;0,8420;1,0370;1,2824;1,6464;1,9623;2,3301;2,5808;3,3003
